SUIT_1,RANK_1,SUIT_2,RANK_2,SUIT_3,RANK_3,SUIT_4,RANK_4,SUIT_5,RANK_5,Figura
picas,3,picas,8,treboles,8,corazones,1,corazones,J,pareja
treboles,7,treboles,J,picas,5,picas,Q,corazones,3,no_hay_figura
corazones,1,treboles,8,diamantes,4,picas,10,treboles,5,no_hay_figura
diamantes,Q,treboles,2,corazones,5,picas,10,corazones,10,pareja
treboles,2,treboles,8,treboles,7,corazones,3,treboles,6,no_hay_figura
diamantes,4,corazones,8,corazones,Q,corazones,9,treboles,10,no_hay_figura
diamantes,3,corazones,6,diamantes,Q,picas,6,treboles,5,pareja
picas,1,picas,9,treboles,K,corazones,5,picas,7,no_hay_figura
diamantes,6,treboles,4,corazones,K,treboles,6,treboles,5,pareja
treboles,3,treboles,10,diamantes,8,corazones,7,picas,10,pareja
picas,10,diamantes,9,corazones,1,diamantes,J,diamantes,8,no_hay_figura
treboles,6,picas,3,picas,7,diamantes,4,diamantes,2,no_hay_figura
diamantes,1,diamantes,7,corazones,Q,treboles,8,corazones,5,no_hay_figura
treboles,5,corazones,J,picas,10,corazones,1,picas,1,pareja
treboles,1,treboles,J,picas,10,diamantes,9,picas,2,no_hay_figura
picas,J,diamantes,7,diamantes,Q,diamantes,5,corazones,7,pareja
picas,1,treboles,6,treboles,K,treboles,J,treboles,Q,no_hay_figura
corazones,1,diamantes,3,picas,2,treboles,10,corazones,9,no_hay_figura
corazones,K,picas,1,diamantes,10,diamantes,6,corazones,Q,no_hay_figura
diamantes,10,picas,1,picas,9,diamantes,9,picas,5,pareja
diamantes,K,corazones,1,diamantes,Q,corazones,7,diamantes,7,pareja
picas,5,corazones,8,treboles,J,treboles,6,diamantes,3,no_hay_figura
picas,10,diamantes,3,diamantes,1,treboles,7,treboles,10,pareja
treboles,J,diamantes,K,diamantes,8,diamantes,1,treboles,Q,no_hay_figura
diamantes,5,corazones,2,picas,4,treboles,8,picas,9,no_hay_figura
corazones,Q,picas,3,diamantes,2,diamantes,4,diamantes,8,no_hay_figura
treboles,6,diamantes,10,diamantes,Q,picas,5,corazones,J,no_hay_figura
picas,1,diamantes,J,treboles,J,corazones,K,diamantes,2,pareja
diamantes,4,diamantes,7,treboles,4,diamantes,6,diamantes,8,pareja
corazones,3,treboles,3,treboles,4,picas,1,treboles,K,pareja
picas,3,corazones,1,treboles,3,diamantes,K,treboles,8,pareja
treboles,7,corazones,3,treboles,4,treboles,1,picas,J,no_hay_figura
treboles,2,diamantes,3,picas,8,treboles,7,diamantes,K,no_hay_figura
treboles,5,diamantes,5,diamantes,1,treboles,8,corazones,K,pareja
treboles,9,picas,K,treboles,10,diamantes,2,corazones,7,no_hay_figura
diamantes,Q,diamantes,9,treboles,1,treboles,2,corazones,J,no_hay_figura
corazones,10,picas,9,picas,10,corazones,8,treboles,K,pareja
treboles,2,treboles,4,corazones,5,treboles,10,picas,3,no_hay_figura
corazones,3,treboles,10,treboles,8,treboles,4,treboles,K,no_hay_figura
picas,Q,diamantes,2,treboles,J,picas,8,diamantes,1,no_hay_figura
corazones,6,diamantes,1,corazones,8,picas,9,corazones,5,no_hay_figura
diamantes,1,diamantes,9,picas,9,picas,K,diamantes,8,pareja
treboles,10,corazones,J,picas,Q,treboles,5,picas,6,no_hay_figura
picas,10,corazones,Q,corazones,7,picas,K,diamantes,Q,pareja
picas,10,diamantes,7,treboles,2,picas,Q,diamantes,2,pareja
diamantes,7,treboles,9,corazones,5,picas,9,picas,6,pareja
diamantes,4,diamantes,2,diamantes,5,treboles,1,treboles,4,pareja
picas,1,diamantes,3,treboles,Q,picas,K,picas,8,no_hay_figura
corazones,Q,diamantes,8,diamantes,2,corazones,1,picas,8,pareja
diamantes,Q,treboles,5,picas,10,diamantes,K,treboles,8,no_hay_figura
corazones,1,corazones,K,treboles,J,picas,K,treboles,4,pareja
treboles,2,corazones,K,diamantes,6,diamantes,7,diamantes,J,no_hay_figura
picas,8,corazones,3,treboles,10,picas,Q,diamantes,1,no_hay_figura
picas,2,picas,J,corazones,Q,corazones,K,picas,9,no_hay_figura
picas,K,corazones,2,picas,2,corazones,9,picas,J,pareja
corazones,Q,diamantes,10,corazones,4,corazones,3,corazones,6,no_hay_figura
diamantes,J,diamantes,6,treboles,8,treboles,7,diamantes,Q,no_hay_figura
picas,6,diamantes,J,picas,2,picas,10,corazones,J,pareja
corazones,8,diamantes,9,diamantes,10,treboles,K,picas,1,no_hay_figura
treboles,8,diamantes,J,diamantes,Q,picas,3,treboles,J,pareja
picas,K,corazones,3,diamantes,7,corazones,8,treboles,8,pareja
corazones,J,corazones,1,picas,10,treboles,9,picas,6,no_hay_figura
diamantes,K,diamantes,J,diamantes,6,treboles,9,picas,4,no_hay_figura
corazones,J,corazones,8,picas,3,diamantes,7,corazones,Q,no_hay_figura
corazones,7,picas,1,corazones,5,corazones,1,diamantes,3,pareja
picas,Q,diamantes,7,treboles,4,corazones,2,diamantes,10,no_hay_figura
treboles,10,corazones,4,treboles,2,diamantes,J,corazones,1,no_hay_figura
corazones,4,corazones,Q,corazones,2,treboles,9,diamantes,Q,pareja
treboles,10,picas,9,picas,Q,diamantes,2,corazones,J,no_hay_figura
treboles,J,corazones,1,diamantes,1,corazones,3,picas,5,pareja
picas,7,treboles,3,treboles,8,picas,10,treboles,2,no_hay_figura
picas,1,picas,10,corazones,4,diamantes,10,diamantes,3,pareja
picas,K,diamantes,4,diamantes,9,diamantes,3,picas,3,pareja
picas,J,diamantes,10,picas,Q,corazones,3,corazones,10,pareja
corazones,2,treboles,Q,picas,6,diamantes,5,treboles,4,no_hay_figura
treboles,2,picas,4,treboles,9,diamantes,1,diamantes,6,no_hay_figura
diamantes,7,diamantes,3,picas,K,corazones,5,treboles,5,pareja
diamantes,9,treboles,8,diamantes,8,diamantes,3,diamantes,7,pareja
treboles,6,treboles,Q,corazones,2,corazones,8,diamantes,7,no_hay_figura
picas,8,corazones,K,corazones,7,treboles,7,picas,K,doble_pareja
picas,9,corazones,K,treboles,8,treboles,9,corazones,6,pareja
corazones,J,corazones,10,treboles,10,picas,K,corazones,K,doble_pareja
corazones,J,corazones,10,picas,3,treboles,6,picas,4,no_hay_figura
picas,9,picas,1,corazones,10,treboles,5,picas,4,no_hay_figura
treboles,Q,picas,1,diamantes,1,corazones,J,treboles,J,doble_pareja
treboles,2,corazones,8,diamantes,6,diamantes,10,picas,8,pareja
treboles,7,picas,7,treboles,9,treboles,3,treboles,10,pareja
corazones,Q,treboles,4,diamantes,9,picas,6,picas,1,no_hay_figura
picas,7,diamantes,7,picas,4,picas,6,corazones,3,pareja
treboles,6,diamantes,9,treboles,7,corazones,8,picas,8,pareja
treboles,Q,corazones,3,picas,3,treboles,7,picas,10,pareja
corazones,J,diamantes,6,diamantes,3,treboles,Q,treboles,J,pareja
picas,8,picas,6,diamantes,J,picas,5,diamantes,4,no_hay_figura
picas,4,diamantes,J,corazones,9,diamantes,1,picas,8,no_hay_figura
diamantes,5,corazones,4,treboles,2,treboles,10,corazones,6,no_hay_figura
treboles,3,picas,5,diamantes,Q,corazones,2,treboles,4,no_hay_figura
picas,6,diamantes,K,picas,9,corazones,K,corazones,10,pareja
diamantes,J,picas,6,treboles,7,picas,2,picas,J,pareja
corazones,1,diamantes,5,picas,10,corazones,4,corazones,6,no_hay_figura
picas,10,corazones,8,corazones,6,treboles,1,diamantes,2,no_hay_figura
corazones,6,corazones,4,corazones,1,treboles,J,diamantes,K,no_hay_figura
diamantes,9,diamantes,4,corazones,K,corazones,3,picas,2,no_hay_figura
picas,1,diamantes,9,diamantes,8,diamantes,6,corazones,1,pareja
treboles,6,corazones,9,picas,8,treboles,1,treboles,J,no_hay_figura
picas,7,corazones,4,diamantes,2,picas,2,diamantes,Q,pareja
diamantes,7,diamantes,K,picas,10,corazones,9,corazones,10,pareja
treboles,9,diamantes,2,corazones,J,diamantes,Q,picas,J,pareja
diamantes,3,picas,4,diamantes,8,treboles,4,picas,Q,pareja
diamantes,8,corazones,6,diamantes,6,diamantes,7,picas,K,pareja
corazones,1,corazones,Q,treboles,3,treboles,6,picas,1,pareja
diamantes,Q,treboles,J,diamantes,3,picas,1,picas,K,no_hay_figura
treboles,10,corazones,5,picas,7,treboles,9,corazones,9,pareja
treboles,9,diamantes,K,corazones,3,diamantes,6,picas,5,no_hay_figura
corazones,5,treboles,3,treboles,Q,picas,5,diamantes,K,pareja
treboles,9,corazones,Q,treboles,1,corazones,4,picas,1,pareja
corazones,8,diamantes,8,corazones,7,corazones,Q,diamantes,4,pareja
treboles,5,picas,2,diamantes,7,corazones,9,treboles,Q,no_hay_figura
corazones,8,diamantes,2,diamantes,3,treboles,2,diamantes,7,pareja
corazones,3,diamantes,K,picas,4,treboles,5,corazones,5,pareja
treboles,4,diamantes,3,picas,Q,corazones,10,picas,10,pareja
treboles,4,diamantes,8,treboles,Q,corazones,4,picas,2,pareja
picas,K,diamantes,2,treboles,K,treboles,6,picas,2,doble_pareja
treboles,10,treboles,3,treboles,6,treboles,1,diamantes,K,no_hay_figura
picas,10,picas,7,corazones,8,picas,5,diamantes,J,no_hay_figura
treboles,8,picas,5,treboles,6,treboles,2,treboles,7,no_hay_figura
treboles,Q,treboles,7,diamantes,4,picas,K,picas,J,no_hay_figura
corazones,9,treboles,8,corazones,3,picas,K,corazones,Q,no_hay_figura
treboles,6,corazones,7,treboles,9,diamantes,10,treboles,J,no_hay_figura
diamantes,7,corazones,4,corazones,Q,corazones,K,treboles,4,pareja
treboles,10,diamantes,9,diamantes,4,treboles,K,picas,9,pareja
diamantes,10,treboles,1,corazones,2,treboles,Q,treboles,4,no_hay_figura
corazones,2,diamantes,10,treboles,1,diamantes,2,treboles,5,pareja
diamantes,8,treboles,J,diamantes,5,treboles,5,treboles,2,pareja
corazones,K,picas,Q,diamantes,Q,corazones,9,treboles,Q,trio
corazones,6,treboles,5,picas,8,diamantes,K,treboles,2,no_hay_figura
picas,2,picas,J,corazones,1,treboles,7,treboles,2,pareja
diamantes,7,corazones,1,diamantes,6,picas,10,treboles,8,no_hay_figura
picas,7,treboles,2,treboles,8,corazones,K,corazones,1,no_hay_figura
treboles,7,diamantes,K,treboles,2,picas,Q,treboles,5,no_hay_figura
picas,4,corazones,K,picas,8,picas,5,corazones,3,no_hay_figura
diamantes,Q,treboles,4,treboles,6,corazones,Q,corazones,9,pareja
treboles,1,corazones,K,corazones,7,picas,K,picas,J,pareja
corazones,10,diamantes,10,treboles,2,diamantes,6,treboles,4,pareja
treboles,Q,diamantes,4,corazones,J,treboles,K,treboles,6,no_hay_figura
corazones,J,picas,9,diamantes,3,treboles,6,treboles,1,no_hay_figura
corazones,5,corazones,7,treboles,7,corazones,K,picas,J,pareja
picas,10,corazones,2,treboles,Q,treboles,6,picas,5,no_hay_figura
picas,2,corazones,4,picas,Q,corazones,10,picas,8,no_hay_figura
diamantes,3,corazones,K,corazones,4,diamantes,K,treboles,8,pareja
corazones,1,corazones,K,treboles,1,diamantes,6,treboles,10,pareja
corazones,6,corazones,K,picas,J,picas,6,corazones,2,pareja
picas,8,corazones,Q,diamantes,9,corazones,2,diamantes,5,no_hay_figura
corazones,J,corazones,K,treboles,9,corazones,7,picas,K,pareja
corazones,6,treboles,2,treboles,9,corazones,7,diamantes,5,no_hay_figura
corazones,1,treboles,10,treboles,6,diamantes,3,picas,4,no_hay_figura
treboles,7,treboles,Q,diamantes,3,treboles,5,diamantes,6,no_hay_figura
corazones,6,picas,1,corazones,J,corazones,2,treboles,5,no_hay_figura
treboles,3,diamantes,Q,treboles,Q,corazones,K,picas,10,pareja
treboles,10,diamantes,4,diamantes,5,corazones,3,treboles,K,no_hay_figura
diamantes,7,corazones,3,corazones,1,corazones,7,diamantes,3,doble_pareja
picas,Q,picas,2,corazones,5,diamantes,1,corazones,8,no_hay_figura
corazones,8,corazones,Q,diamantes,10,corazones,2,picas,7,no_hay_figura
treboles,Q,diamantes,J,treboles,J,corazones,9,picas,J,trio
corazones,4,diamantes,6,corazones,K,treboles,10,corazones,7,no_hay_figura
corazones,7,diamantes,K,diamantes,Q,corazones,1,diamantes,9,no_hay_figura
corazones,3,picas,5,corazones,1,diamantes,4,picas,8,no_hay_figura
treboles,1,diamantes,5,treboles,Q,diamantes,6,picas,9,no_hay_figura
corazones,5,treboles,9,picas,3,treboles,7,picas,8,no_hay_figura
picas,9,corazones,Q,picas,7,treboles,Q,diamantes,9,doble_pareja
treboles,2,picas,4,corazones,1,picas,10,treboles,8,no_hay_figura
picas,7,picas,Q,corazones,Q,treboles,3,treboles,4,pareja
diamantes,3,treboles,7,corazones,7,corazones,K,picas,7,trio
corazones,3,diamantes,K,diamantes,5,picas,10,picas,7,no_hay_figura
treboles,4,treboles,9,corazones,7,corazones,9,treboles,5,pareja
treboles,9,treboles,7,corazones,9,picas,7,treboles,5,doble_pareja
corazones,4,corazones,7,picas,7,corazones,3,corazones,K,pareja
treboles,9,treboles,4,picas,7,picas,8,corazones,6,no_hay_figura
corazones,J,diamantes,9,treboles,10,treboles,5,corazones,9,pareja
diamantes,J,corazones,2,corazones,3,picas,J,treboles,4,pareja
diamantes,Q,corazones,2,treboles,Q,treboles,8,diamantes,J,pareja
corazones,2,treboles,6,treboles,K,corazones,K,diamantes,K,trio
diamantes,1,picas,6,diamantes,2,treboles,4,picas,1,pareja
treboles,4,treboles,6,picas,Q,corazones,8,corazones,3,no_hay_figura
corazones,9,diamantes,K,treboles,5,corazones,J,diamantes,9,pareja
corazones,5,corazones,J,picas,6,diamantes,8,corazones,7,no_hay_figura
treboles,5,picas,4,treboles,7,diamantes,2,treboles,9,no_hay_figura
picas,7,diamantes,9,treboles,4,treboles,J,corazones,K,no_hay_figura
picas,4,corazones,10,picas,6,picas,9,diamantes,3,no_hay_figura
diamantes,K,treboles,8,treboles,K,treboles,6,picas,2,pareja
treboles,10,picas,Q,picas,7,corazones,Q,diamantes,5,pareja
diamantes,K,treboles,Q,treboles,K,corazones,7,treboles,8,pareja
corazones,3,diamantes,6,corazones,6,diamantes,K,picas,J,pareja
corazones,7,treboles,1,treboles,J,picas,3,treboles,Q,no_hay_figura
corazones,5,diamantes,1,picas,5,picas,2,corazones,6,pareja
picas,K,corazones,K,diamantes,1,picas,8,corazones,4,pareja
corazones,4,diamantes,9,diamantes,5,picas,5,treboles,7,pareja
diamantes,7,treboles,7,corazones,4,picas,J,picas,9,pareja
corazones,2,picas,9,treboles,2,treboles,9,corazones,8,doble_pareja
picas,9,picas,2,treboles,6,picas,10,picas,7,no_hay_figura
treboles,3,corazones,4,picas,8,treboles,7,picas,9,no_hay_figura
diamantes,9,diamantes,5,picas,4,diamantes,10,diamantes,7,no_hay_figura
corazones,Q,treboles,Q,treboles,8,treboles,J,diamantes,Q,trio
diamantes,1,treboles,6,corazones,4,corazones,9,corazones,1,pareja
diamantes,10,treboles,6,treboles,J,treboles,5,diamantes,Q,no_hay_figura
corazones,8,corazones,J,treboles,2,treboles,7,picas,1,no_hay_figura
treboles,5,diamantes,J,diamantes,2,treboles,9,picas,7,no_hay_figura
diamantes,Q,corazones,7,diamantes,9,treboles,8,picas,7,pareja
diamantes,9,diamantes,2,picas,7,treboles,K,picas,J,no_hay_figura
picas,6,picas,8,diamantes,Q,treboles,8,picas,J,pareja
diamantes,9,treboles,8,treboles,2,treboles,9,treboles,J,pareja
picas,4,diamantes,10,picas,3,treboles,K,treboles,4,pareja
